"","TIME","A","Bb","B","C","C#","D","Eb","E","F","F#","G","Ab"
"96",4.411791383,0.313759,0.287429,0.179991,2.55569,0.208185,0.0535857,0.0139525,1.89209,0.0131422,0.00046604,1.71877,0
"97",4.458231293,0.301073,0.25382,0.316703,2.52814,0.168531,0.0421632,0.027773,1.71827,0.00693026,0.102081,1.92214,0.0315406
"98",4.504671202,0.273887,0.177835,0.445298,2.40141,0.173441,0.0579254,0.0758313,1.45208,0,0.199412,2.1857,0.0204788
"99",4.551111111,0.144001,0.395927,0.685881,2.19879,0.115013,0.685017,0.0403491,1.09272,0.0628479,0.202149,2.00899,0.103905
"100",4.59755102,0.146492,0.575842,0.262788,2.33207,0.0374522,0.62339,0.0180944,1.39233,0.452527,0.403276,1.71067,0.116932
"101",4.64399093,0.267433,0.472249,0.242617,2.51812,0.0323908,0.237789,0.0284398,1.51524,0.444582,0.583352,1.70727,0.0768097
"102",4.690430839,0.429617,0.276653,0.301779,2.80666,0.184182,0,0,1.29105,0.310718,0.47102,1.78144,0.0923768
"103",4.736870748,0.656167,0.11004,0.271145,2.60952,0.159694,0.000803065,0.0335414,1.66716,0.188312,0.584137,1.5775,0.0442344
"104",4.783310658,0.649709,0.123632,0.297597,2.35159,0.15067,0.015033,0.0455832,1.58396,0.124706,0.599752,1.33845,0
"105",4.829750567,0.627993,0.148622,0.424721,2.22686,0.258143,0,0.0590822,1.2846,0.0175649,0.624337,1.6936,0
"106",4.876190476,0.573191,0.285528,0.26693,2.36243,0.359058,0,0.181282,1.24891,0.0332201,0.632648,1.61234,0
"107",4.922630385,0.365013,0.77247,0.00813456,2.6069,0.181163,0.0264852,0.208218,1.21456,0.120263,0.60586,1.52803,0
"108",4.969070295,0.239224,0.836044,0.260438,2.43121,0.386697,0.048258,0.0344851,0.997032,0.324247,0.397697,1.40367,0.0541474
"109",5.015510204,0.291878,0.659496,0.240343,2.25229,0.257507,0.0614324,0.0481733,1.14737,0.551648,0.297617,1.18969,0.0661551
"110",5.061950113,0.274636,0.391609,0.048064,2.2646,0.118539,0.0468198,0.0282736,1.038,1.00323,0.345354,1.64547,0.0784794
"111",5.108390023,0.472837,0.527514,0.0650722,2.40138,0.12911,0.232613,0.00388555,0.732321,1.18583,0.161505,1.99966,0
"112",5.154829932,0.747071,0.705126,0.206907,2.436,0.132629,0.438451,0.00258425,0.706551,1.14056,0.00589327,1.98312,0.0179029
"113",5.201269841,0.766058,0.563352,0.113535,2.73951,0.162511,0.442756,0,1.02716,0.819218,0.00467981,1.75401,0.160504
"114",5.247709751,0.430963,0.241037,0.148587,2.71304,0.267569,0.0717436,0.0315308,1.07992,0.264929,0.0481224,1.87032,0.0219583
"115",5.29414966,0.174091,0.360728,0.162228,2.40999,0.299844,0.0440392,0.173714,0.998305,0.0725513,0.434374,1.73166,0.0485595
"116",5.340589569,0.390959,0.322511,0.00570231,2.43551,0.238533,0.0269421,0.23978,0.782265,0.100896,0.508755,1.68022,0.0398293
"117",5.387029478,0.471071,0.315007,0.00162574,2.43188,0.154214,0.000605632,0.0964735,0.840529,0.235963,0.565389,1.98663,0.0565391
"118",5.433469388,0.308055,0.267829,0.000847432,2.58442,0.141491,0.0682199,0.00104822,0.839529,0.25447,0.526413,2.16142,0.258509
"119",5.479909297,0.371359,0.151805,0.00192521,2.40306,0.16679,0.0652228,0.00671199,0.797782,0.308552,0.386021,1.98807,0.562207
"120",5.526349206,0.394774,0.0819714,0.21747,1.91607,0.289798,0.543683,0.0325074,0.663141,0.504214,0.130448,2.06251,0.392268
"121",5.572789116,0.428919,0.107342,0.634722,2.08211,0.316375,0.728297,0.0728223,0.504251,0.586333,0,2.14373,0.0306305
"122",5.619229025,0.436419,0.334447,1.06872,1.76868,0.238711,0.705171,0.0673738,0.877558,0.543969,0.129049,1.81923,0
"123",5.665668934,0.405538,0.244088,1.47789,1.51604,0.102072,0.878016,0.153471,1.03015,0.318721,0.138053,1.24728,0
"124",5.712108844,0.351769,0.320389,1.46344,1.49821,0.0315572,0.764194,0.162446,0.983018,0.131169,0.0455642,1.20449,0.000236616
"125",5.758548753,0.488071,0.370344,1.27823,1.84247,0.0491104,0.438481,0.0187637,0.755508,0.0686658,0.0517504,1.37364,0.00162227
"126",5.804988662,0.502888,0.365522,0.807323,2.3748,0.0478101,0.458037,0,0.873525,0.0835218,0.0697548,1.05703,0.0659909
"127",5.851428571,0.295745,0.243167,0.0273825,2.88321,0.0302442,0.687124,0.0422375,1.04423,0.257876,0.2256,0.539523,0.323188
"128",5.897868481,1.12232,0.139961,0.068072,2.13752,0.819933,0.361615,0.294442,1.46401,0.377451,0.0844879,0.433096,0.5396
"129",5.94430839,1.52034,0.0075179,0.124072,2.14019,1.35012,0.393892,0.214478,1.38005,0.415064,0.11892,0.282835,0.501704
"130",5.990748299,1.66167,0.0527439,0.103672,2.0669,1.16101,0.871223,0.0851532,1.21207,0.645524,0.215018,0.383719,0.585255
"131",6.037188209,1.64969,0.124988,0.0533989,2.07557,1.15998,1.04314,0.0728849,1.22532,0.705217,0.314923,0.463638,0.496313
"132",6.083628118,1.60801,0.187567,0.0307932,2.12006,1.15662,0.971617,0.0514786,1.31142,0.534301,0.419296,0.653887,0.354463
"133",6.130068027,1.27171,0.23412,0.00861005,2.27315,0.903866,0.888329,0.0315028,1.53713,0.187707,0.279529,0.867689,0.310986
"134",6.176507937,0.888574,0.48061,0.00123172,2.78005,0.063507,0.335471,0.0922674,1.59344,0.0518787,0.0467983,0.96435,0.477158
"135",6.222947846,1.35049,0.0230993,0,2.14205,0.397895,0.0226095,0.781423,0.978502,0.0856657,0.12506,0.72533,0.31699
"136",6.269387755,1.9975,0.22267,0.0205931,1.84272,0.640967,0,0.749825,0.584001,0.50099,0.247483,0.1317,0.743202
"137",6.315827664,2.10771,0.182652,0.0151613,1.70552,0.865718,0.119395,0.881013,0.809404,0.811605,0.373597,0,0.493177
"138",6.362267574,2.22535,0.146676,0.00451156,1.74833,0.929959,0.37737,0.893978,0.977567,0.760472,0.425902,0,0.475667
"139",6.408707483,2.10782,0.0912764,0,1.84093,0.95714,0.685863,0.848765,1.10433,0.661425,0.427661,0.115188,0.566866
"140",6.455147392,1.90027,0.00500693,0.000666613,2.08667,0.94063,0.896553,0.858569,1.14826,0.370308,0.319618,0.348643,0.444406
"141",6.501587302,1.13956,0.457302,0.00991186,2.60774,0.0363205,0.544977,1.13639,1.18398,0.0399597,0.129279,0.813355,0.639334
"142",6.548027211,1.42693,0.00181385,0.002999,2.4098,0.0459723,0.479624,1.34251,0.953477,0.0417982,0,0.506338,0.421471
"143",6.59446712,1.42376,0.00301927,0.00352617,2.23015,0.030182,0.562919,1.12204,0.686739,0.272422,0.0822761,0.281084,0.0522401
"144",6.640907029,1.43126,0.0026684,0.00470857,2.3393,0.0627281,0.336163,0.694502,0.582095,0.279282,0.101014,0.582519,0
"145",6.687346939,1.45034,0.0012091,0.00595532,2.36616,0.0448517,0.00343207,0.677714,0.482897,0.282595,0.125025,0.747091,0
"146",6.733786848,1.482,0.000997593,0.616338,1.80635,0.080466,0.00261789,1.34164,0.210256,0.256072,0,0.908012,0
"147",6.780226757,1.50327,0.0760907,1.06071,1.14914,0.158081,0,1.74151,0.0911034,0.126029,0,0.999132,0
"148",6.826666667,1.24901,0.150326,1.09093,0.830928,0.209052,0,1.56682,0.29692,0.141356,0,1.32318,0.0736022
"149",6.873106576,1.05552,0.0881853,0.900737,1.25622,0.343416,0,1.50316,0.496209,0.111446,0.028859,1.53923,0
"150",6.919546485,1.03882,0.00255468,0.0701896,1.40876,0.378192,0.221068,2.05128,1.12431,0.560833,0.246107,0.951293,0.110623
"151",6.965986395,0.559866,0,0.00666082,0.538607,0.673007,1.22812,2.01437,0.805512,0.450396,0.377442,1.35071,0.732316
"152",7.012426304,0,0.518757,0.0137495,0.567167,0.752342,1.52126,1.46523,0.890131,0.27295,0.395771,1.54693,0.76799
"153",7.058866213,0,0.600069,0,0.596437,0.629288,1.70285,1.32947,0.854,0.177563,0.408638,1.5689,0.735578
"154",7.105306122,0.011498,0.54413,0,0.593195,0.696772,1.63468,0.629754,1.2593,0.23297,0.065056,1.62,0.576529
"155",7.151746032,0.0932449,0.133076,0.209739,0.998873,0.777212,0.294965,0.526909,1.54835,0.363853,0.600134,0.22658,1.15736
"156",7.198185941,0.0551128,0.0377931,0.450515,0.9039,0.742857,0.342905,0.525123,1.65859,0.251353,0.669192,0.194602,1.23691
"157",7.24462585,0.0481606,0.112885,0.220925,0.91076,0.729758,0.33935,0.603783,1.81935,0.134413,0.716111,0.268597,1.16181
"158",7.29106576,0.0469372,0.725149,0.00104032,0.859849,0.779725,0.311149,0.751916,1.69169,0.102693,0.742343,0.424506,1.00028
"159",7.337505669,0.0331998,1.76634,0.114794,0.292417,0.456952,0.362754,1.08067,1.37782,0.308296,0.285616,0.838502,0.804076
"160",7.383945578,0.834233,1.95613,0.319798,0.427008,0.14831,0.353409,1.02583,0.952893,2.07435,0,0.671414,0.268503
"161",7.430385488,1.01486,1.90398,0.684781,0.470013,0.0173373,0.380141,0.817006,0.22732,3.16224,0,0.474784,0.26429
"162",7.476825397,0.878615,1.31414,0.784937,0.999967,0.0293157,0.423682,0.489826,0.0388157,3.56263,0.000951899,0.363555,0
"163",7.523265306,0.778424,0.489682,0.256535,1.19389,0.0397671,0.628512,0.218579,0.106542,3.83872,0.00200604,0.916495,0
"164",7.569705215,0.497177,0,0.288144,1.15368,0.0392851,1.33194,0.38088,0.47046,3.15527,0.000995443,2.55925,0.0433497
"165",7.616145125,0.22323,0,0.405148,1.00763,0.144837,1.64473,0.67738,0.58815,2.05126,0,3.64476,0
"166",7.662585034,0.00431302,0.000918017,0.462522,0.468738,0.15141,1.0495,1.09169,0.785541,0.620069,0,4.12179,0.0493266
"167",7.709024943,0.0367511,0.00946074,0.377789,0.428133,0.205772,0.71517,0.894578,0.843457,0.222406,0.0384932,4.09957,0.478184
"168",7.755464853,0.00778571,0.00926674,0.339428,0.330951,0.227678,0.696674,1.00557,0.770793,0.228753,0.0778057,3.93285,0.836214
"169",7.801904762,0,0.000835983,0.368295,0.172792,0.34285,0.522226,1.28384,0.596483,0.213167,0.0452108,3.52613,1.23624
"170",7.848344671,5.38584e-05,0.000763293,0.36423,0.17124,0.230309,0.568292,1.14994,0.306521,0.206268,0.0165174,2.49768,2.4181
"171",7.89478458,0.000113392,0,0.0661561,0.435094,0.00520763,0.505736,1.30672,0.0404002,0.138943,0.067707,1.5878,3.10289
"172",7.94122449,0.000203546,0.0384368,0.0329283,0.662633,0.0292566,0.385166,1.39864,0.0190829,0.138946,0.185899,1.0017,3.36241
"173",7.987664399,0.314236,0.0559376,0.00166096,0.401009,0.0228107,0.721712,1.1404,0,0.748644,0.195536,0.587497,3.27663
"174",8.034104308,0.429478,0.589348,0,0.450718,0.0273427,0.79044,0.923224,0,1.07918,0.108738,0.492783,3.13659
"175",8.080544218,0.522858,1.40943,0.0165099,0.328677,0.0281459,0.29092,0.660414,0,0.997289,0.0561718,0.649032,2.95995
"176",8.126984127,0.325593,1.8447,0.148913,0.013161,0.0202038,0.289824,0.790707,0,1.13176,0,1.25051,2.47087
"177",8.173424036,0.242031,1.9373,0.0649882,0.113108,0.0202383,0.291704,1.0987,0,1.53315,0,1.84768,1.42586
"178",8.219863946,0.212639,2.07877,0.0985247,0.427038,0.0171906,0.465305,0.845953,0,2.28108,0.0940017,2.0007,0.317578
"179",8.266303855,0.160369,1.83792,0.27957,0.562823,0,0.777359,0.730793,0.00104327,2.79991,0.0265396,1.76389,0.25034
"180",8.312743764,0,1.5253,0.33264,0.749626,0.0919584,0.663741,1.21589,0.0413474,2.688,0.080132,1.5234,0.0411645
"181",8.359183673,0,0.56214,0.19209,1.26304,0.151276,0.91032,1.23037,0.0678253,2.33267,0.0407673,1.52429,0.360298
"182",8.405623583,0,0.7015,0.00904485,1.24867,0.098965,1.15136,1.01448,0.157017,1.96252,0.151792,1.86089,0.617265
"183",8.452063492,0.000142477,0.53437,0,1.22311,0.00867456,1.10781,1.33001,0.543653,1.39542,0.153336,3.06363,0.210736
"184",8.498503401,0.00979113,0.314225,0.14641,0.706151,0.00677642,1.09547,2.03991,0.449068,0.85961,0.00426637,3.4593,0.0660501
"185",8.544943311,0.0863361,0.262757,0.269748,0.242393,0,1.03841,2.4386,0.266512,0.283779,0.0100111,3.40695,0.102039
"186",8.59138322,0.166299,0.471525,0.0253086,0.424248,0,0.697271,2.55418,0.290858,0.0883889,0.0957165,3.13962,0.0893466
"187",8.637823129,0.167583,0.608675,0.158365,0.489937,0.0109256,0.491295,2.21703,0.141143,0.0697767,0.027679,3.27242,0.0176473
"188",8.684263039,0.249288,0.795643,0.157491,1.4518,0.40408,0.221824,1.0877,0.0223412,0.00455945,0.250042,2.87376,0.0111122
"189",8.730702948,0.767933,0.0867526,0.0497829,2.03952,0.985413,0.168703,0.672229,0.21082,0.01437,0.465122,2.24707,0.0331064
"190",8.777142857,1.19838,0.180012,0.0426591,2.16337,1.36776,0.367119,0.394064,0.338627,0.400683,0.375995,1.968,0.183845
"191",8.823582766,1.12279,0.164312,0.0153255,2.26534,1.14763,0.457273,0.358797,0.166209,1.97,0.271351,1.51506,0.114294
"192",8.870022676,0.977523,0.232929,0.0251542,2.45001,0.804511,0.39113,0.284561,0.0221806,3.25954,0.182153,0.725648,0.050355
"193",8.916462585,0.659108,0.221842,0.0456376,2.19867,0.194324,0.18179,0.382859,0.0147931,4.17108,0,0.0874193,0.039224
"194",8.962902494,0.566212,0.120829,0.0397131,1.94596,0.019446,0.146893,0.418525,0.00748523,4.37377,0.00673406,0.097578,0.045054
"195",9.009342404,0.846423,0.0425365,0.0484693,1.78972,0.09438,0.228267,0.347987,0.00764539,4.22153,0.000135102,0.0461506,0
"196",9.055782313,1.3413,0.0176639,0.051089,1.74241,0.427396,0.75321,0.241928,0.0320672,3.94428,0.0834375,0.038104,0
"197",9.102222222,1.60442,0,0.0917143,1.70297,0.501201,1.08497,0.190468,0.0311735,3.76178,0.184154,0.0528871,0
"198",9.148662132,1.68008,0.00140104,0.13931,1.8132,0.498847,1.1614,0.182611,0.0407107,3.78321,0.251132,0.209236,0
"199",9.195102041,1.47406,0.0120735,0.198941,1.95499,0.454241,1.07175,0.181728,0.0239904,3.88162,0.239708,0.337777,0.00967235
"200",9.24154195,1.21174,0.0232112,0.228945,2.04233,0.344649,0.769328,0.238663,0,4.10001,0.0897005,0.354337,0.0663251
"201",9.287981859,0.941892,0.023566,0.0332941,1.98018,0.0348852,0.353981,0.372733,0,4.28337,0,0.221444,0.0266718
"202",9.334421769,0.959024,0.0203467,0.0264619,1.42301,0.0361486,0.17803,0.335179,0.0839598,4.16005,0,0.08478,0.024605
"203",9.380861678,1.13479,0.0178798,0.0187012,1.21647,0.0255516,0.10566,0.227674,0.108612,3.79607,0,0,0
"204",9.427301587,1.1788,0.0222647,0.0285879,1.28253,0.0556227,0,0.168179,0.104592,3.28448,0,0,0
